Site,lat,long
Gaviota,34.501896,120.198549
Santa_Monicas,34.075431,118.816074
Stunt_Ranch,34.092613,118.656029
Santa_Cruz,34.013727,119.767375
Santa_Rosa,33.990544,120.064238
Catalina,33.389802,118.39363
Rancho_Santa_Ana,34.1106,117.7151
Santa_Barbara,34.4565,119.71
