Name,Position,Elevation,Categories
CMEG32,N34.07827¡ W118.81816¡,453 m,
HET36,N34.07812¡ W118.81717¡,444 m,
DEND33,N34.07801¡ W118.79361¡,625 m,
QBER20,N34.07797¡ W118.79380¡,625 m,
DEND31,N34.07797¡ W118.79364¡,624 m,
CMEG33,N34.07793¡ W118.81678¡,441 m,
DEND32,N34.07793¡ W118.79365¡,624 m,
DEND29,N34.07786¡ W118.79370¡,621 m,
DEND28,N34.07786¡ W118.79369¡,621 m,
DEND30,N34.07773¡ W118.79371¡,618 m,
CMEG34,N34.07734¡ W118.81589¡,424 m,
PRUN38,N34.07682¡ W118.81633¡,433 m,
PRUN40,N34.07656¡ W118.81792¡,444 m,
PRUN39,N34.07656¡ W118.81789¡,443 m,
PRUN41,N34.07651¡ W118.81796¡,445 m,
HET37,N34.07647¡ W118.81800¡,447 m,
PRUN42,N34.07643¡ W118.81798¡,448 m,
CERC25,N34.07631¡ W118.81641¡,465 m,
PRUN43,N34.07590¡ W118.81568¡,469 m,
CMEG47,N34.07431¡ W118.81522¡,489 m,
CMEG46,N34.07413¡ W118.81516¡,493 m,
CMEG45,N34.07396¡ W118.81505¡,496 m,
CMEG44,N34.07390¡ W118.81504¡,497 m,
CMEG43,N34.07356¡ W118.81475¡,501 m,
CMEG42,N34.07316¡ W118.81445¡,502 m,
CERC34,N34.07298¡ W118.81423¡,505 m,
PRUN49,N34.07295¡ W118.81420¡,505 m,
QPAC18,N34.02085¡ W119.83194¡,126 m,
QPAC19,N34.01950¡ W119.82458¡,150 m,
HET30,N34.01936¡ W119.84464¡,91 m,
CERC20,N34.01773¡ W119.80654¡,258 m,
CMEG25,N34.01701¡ W119.81694¡,172 m,
CERC19,N34.01679¡ W119.81061¡,205 m,
PRUN29,N34.01667¡ W119.81208¡,196 m,
QPAC20,N34.01666¡ W119.80756¡,236 m,
HET31,N34.01662¡ W119.80521¡,282 m,
QPAC21,N34.01662¡ W119.80511¡,285 m,
CERC18,N34.01601¡ W119.81465¡,181 m,
CERC21,N34.01596¡ W119.80160¡,338 m,
CMEG26,N34.01546¡ W119.79885¡,387 m,
HET32,N34.01456¡ W119.79351¡,380 m,
