"Mon.Pop","Species","emmean","SE","df","lower.CL","upper.CL"
"AU","GOPH",5.24170698911549,0.795014555990684,115.158785406905,3.66695924730103,6.81645473092995
"CA","GOPH",4.81895795502729,0.884581833085919,188.960241254188,3.07403381823138,6.5638820918232
"ENA","GOPH",5.35226437272033,0.784621473326204,153.641306553698,3.802225363987,6.90230338145366
"GU","GOPH",4.7207012413775,0.885818424445633,180.99347201784,2.97284195481954,6.46856052793546
"HI","GOPH",4.99110802563504,0.794065974417399,100.655042473939,3.41582928582885,6.56638676544122
"PR","GOPH",7.69229273549785,1.00805360859116,167.648378095886,5.70217794790875,9.68240752308695
"AU","ASCU",14.6105741140998,1.15074886483631,54.9178466105067,12.3043443095589,16.9168039186408
"CA","ASCU",12.5743223669426,1.08903001845148,43.1699297535412,10.3783340015198,14.7703107323653
"ENA","ASCU",13.0785421433669,1.02124765480599,42.4082318853386,11.0181685413472,15.1389157453865
"GU","ASCU",8.88581140229911,0.941135235817412,36.7313879080977,6.97841945591745,10.7932033486808
"HI","ASCU",11.0132878883116,1.05198387666073,39.9361318385716,8.88704324030009,13.1395325363231
"PR","ASCU",14.9627569597604,1.02566903449334,41.599492179474,12.8922824854704,17.0332314340504
"AU","ASYR",7.16410601168824,0.956631247999894,150.574685463861,5.27395189418316,9.05426012919331
"CA","ASYR",5.25025835752065,0.905115281613097,107.173075788291,3.45600601119637,7.04451070384493
"ENA","ASYR",6.19916405311593,0.985571190528919,99.2738304313073,4.24364371753704,8.15468438869481
"GU","ASYR",6.61825435208937,1.03592073845191,177.648357685446,4.57396046808923,8.66254823608951
"HI","ASYR",7.3715818739204,1.27429591679736,108.764536628441,4.84590742538598,9.89725632245482
"PR","ASYR",1.05588742516683,1.04020625883685,153.891246223459,-0.999039117688511,3.11081396802218
"AU","ASPEC",3.01654391338705,1.38754432634861,33.9031339420277,0.196417785549136,5.83667004122497
"CA","ASPEC",4.6561906867007,1.13310524321233,23.1507702703404,2.31302830891525,6.99935306448614
"ENA","ASPEC",1.91026269732408,1.34785732506433,29.5583728923106,-0.844154853503948,4.66468024815211
"GU","ASPEC",3.62566502775069,1.28938675425223,33.8775817784756,1.00496705883565,6.24636299666573
"HI","ASPEC",4.95451927698242,1.48138979020357,63.087320714477,1.99427818688488,7.91476036707995
"PR","ASPEC",0.895546414199129,1.28209954355442,34.3800232559948,-1.7089329140898,3.50002574248805
