Sample,Tissue,Species,Mass
W202,Wing,ASCU,9.5
W203,Wing,ASCU,9.5
W217,Wing,ASCU,9.5
W218,Wing,ASCU,9.5
W223,Wing,ASCU,9.5
W23,Wing,GOPH,10.1
W236,Wing,ASYR,10.4
W238,Wing,ASYR,10.4
W239.2,Wing,ASYR,10.4
W242,Wing,ASYR,10.4
W247,Wing,ASYR,10.4
W248,Wing,ASYR,10.4
W250,Wing,ASYR,10.4
W255.2,Wing,ASYR,10.4
W255.3,Wing,ASYR,10.4
W257,Wing,ASYR,10.4
W258,Wing,ASYR,10.4
W261,Wing,ASYR,10.4
W262.2,Wing,ASYR,10.4
W263.1,Wing,ASYR,10.4
W265,Wing,ASYR,10.4
W267,Wing,ASYR,10.4
W269,Wing,ASYR,10.4
W273,Wing,ASYR,10.4
W276,Wing,ASYR,10.4
W277,Wing,ASYR,10.4
W279,Wing,ASYR,10.4
W283,Wing,ASFA,9.7
W285,Wing,ASFA,9.7
W286,Wing,ASFA,9.7
W287,Wing,ASFA,9.7
W288,Wing,ASFA,9.7
W294,Wing,ASFA,9.7
W296,Wing,ASFA,9.7
W298,Wing,ASFA,9.7
W3,Wing,GOPH,10.1
W301,Wing,ASFA,9.7
W302,Wing,ASFA,9.7
W303,Wing,ASFA,9.7
W308,Wing,ASFA,9.7
W310,Wing,ASFA,9.7
W315,Wing,ASFA,9.7
W317.1,Wing,ASFA,9.7
W44,Wing,GOPH,10.1
W47,Wing,GOPH,10.1
W48,Wing,GOPH,10.1
W51,Wing,GOPH,10.1
W52.2,Wing,GOPH,10.1
W53,Wing,GOPH,10.1
W6,Wing,GOPH,10.1
W61,Wing,GOPH,10.1
W62.2,Wing,GOPH,10.1
W62.3,Wing,GOPH,10.1
W70,Wing,GOPH,10.1
W80,Wing,GOPH,10.1
W81,Wing,GOPH,10.1
W85,Wing,GOPH,10.1
W86,Wing,GOPH,10.1
W9,Wing,GOPH,10.1
W92,Wing,GOPH,10.1
570.2,Wing,AINC,10
572.1,Wing,AINC,10
574.1,Wing,AINC,10
575.1,Wing,AINC,10
