Sample,Tissue,Species,Mass
753,Leaf,ASPEC,8.945
754,Leaf,ASPEC,9.255
754.1,Wing,ASPEC,10.4
756,Leaf,ASPEC,8.383
757.1,Wing,ASPEC,10.5
759,Leaf,ASPEC,9.696
759.1,Wing,ASPEC,10.5
759.3,Wing,ASPEC,9.3
760,Leaf,ASPEC,9.306
760.1,Wing,ASPEC,9.9
762,Leaf,ASPEC,9.576
762.1,Wing,ASPEC,4.9
763.1,Leaf,ASPEC,11.351
763.1,Wing,ASPEC,9.9
763.2,Leaf,ASPEC,6.729
766.2,Wing,ASPEC,12.2
767,Leaf,ASPEC,11.345
767.2,Wing,ASPEC,10.2
769,Leaf,ASPEC,6.708
769.1,Wing,ASPEC,10.7
770,Leaf,ASPEC,7.993
770.1,Wing,ASPEC,13.5
770.2,Wing,ASPEC,13
800,Leaf,ASYR,3.902
801,Leaf,ASYR,10.206
802,Leaf,ASYR,7.042
803,Leaf,ASYR,8.544
804.2,Wing,ASYR,6.5
805.1,Wing,ASYR,13.2
805.2,Wing,ASYR,12
805.3,Wing,ASYR,10.4
805.4,Wing,ASYR,12.4
806,Leaf,ASYR,6.941
806.1,Wing,ASYR,12.5
806.2,Wing,ASYR,14
807,Leaf,ASYR,7.32
808.1,Wing,ASYR,12.2
808.2,Wing,ASYR,10.1
809,Leaf,ASYR,9.363
810,Leaf,ASYR,6.528
810.2,Wing,ASYR,8.2
811,Leaf,ASYR,5.27
811.1,Wing,ASYR,11.9
811.2,Wing,ASYR,9.3
811.3,Wing,ASYR,10.7
812,Leaf,ASYR,8.628
812.1,Wing,ASYR,8.8
812.2,Wing,ASYR,8.9
813,Leaf,ASYR,10.311
813.1,Wing,ASYR,9.5
814,Leaf,ASYR,10.905
814.1,Wing,ASYR,9.7
814.2,Wing,ASYR,9.7
815,Leaf,ASYR,6.557
815.1,Wing,ASYR,12.3
815.2,Wing,ASYR,11
816,Leaf,ASYR,6.214
817,Leaf,ASYR,7.807
818,Leaf,ASYR,7.251
818.1,Wing,ASYR,5.4
818.2,Wing,ASYR,8.5
819.1,Wing,ASYR,10.4
821,Leaf,ASYR,10.605
821.1,Wing,ASYR,7.8
822,Leaf,ASYR,10.056
822.1,Wing,ASYR,10.3
822.2,Wing,ASYR,12.1
823,Leaf,ASYR,6.439
823.1,Wing,ASYR,10.6
823.2,Wing,ASYR,8.2
824,Leaf,ASYR,6.992
824.2,Wing,ASYR,11.4
825,Leaf,ASYR,7.73
826,Leaf,ASYR,8.371
826.1,Wing,ASYR,4.8
827.1,Wing,ASYR,9.6
827.3,Wing,ASYR,10.3
828,Leaf,ASYR,7.74
828.1,Wing,ASYR,10.9
828.2,Wing,ASYR,10.3
829,Leaf,ASYR,11.671
829.1,Wing,ASYR,11.3
830,Leaf,ASYR,6.933
830.1,Wing,ASYR,7.1
831,Leaf,ASYR,7.457
834.1,Wing,ASYR,11.7
836,Leaf,ASYR,7.011
836.1,Wing,ASYR,8.9
836.2,Wing,ASYR,7.4
837,Leaf,ASYR,10.333
839,Leaf,ASYR,7.065
839.1,Wing,ASYR,12.1
840,Leaf,ASYR,10.043
842,Leaf,ASYR,8.917
842.1,Wing,ASYR,9.2
842.2,Wing,ASYR,9.1
844,Leaf,ASYR,8.106
844.1,Wing,ASYR,12.2
844.2,Wing,ASYR,11.7
845,Leaf,ASYR,11.872
845.2,Wing,ASYR,11.7
846,Leaf,ASYR,7.32
846.1,Wing,ASYR,7.9
846.2,Wing,ASYR,7.1
847.1,Wing,ASYR,6.7
849,Leaf,ASYR,10.322
849.1,Wing,ASYR,11.3
849.2,Wing,ASYR,12.8
850,Leaf,ASYR,4.999
851,Leaf,ASYR,5.292
852,Leaf,ASYR,13.585
852.1,Wing,ASYR,10.1
852.2,Wing,ASYR,9.4
900.1,Wing,ASFA,11.5
901,Leaf,ASFA,3.875
901.1,Wing,ASFA,12.4
901.2,Wing,ASFA,6.2
902,Leaf,ASFA,3.725
902.1,Wing,ASFA,11.6
902.2,Wing,ASFA,8.7
903,Leaf,ASFA,5.658
904,Leaf,ASFA,5.071
904.2,Wing,ASFA,10.1
904.3,Wing,ASFA,10.5
905.1,Wing,ASFA,10.1
905.2,Wing,ASFA,8.7
906.1,Wing,ASFA,9.2
907.1,Wing,ASFA,7.3
909,Leaf,ASFA,9.156
909.1,Wing,ASFA,10.7
910,Leaf,ASFA,8.639
910.1,Wing,ASFA,10.4
910.2,Wing,ASFA,10.6
910.3,Wing,ASFA,9.7
911.1,Wing,ASFA,9.5
911.2,Wing,ASFA,9.2
912,Leaf,ASFA,12.17
912.1,Wing,ASFA,7.1
912.2,Wing,ASFA,6.1
912.3,Wing,ASFA,6.9
913,Leaf,ASFA,4.763
913.1,Wing,ASFA,12.1
914,Leaf,ASFA,8.067
915,Leaf,ASFA,7.155
915.2,Wing,ASFA,5.2
916,Leaf,ASFA,8.327
917,Leaf,ASFA,6.776
917.1,Wing,ASFA,7.7
918.1,Wing,ASFA,8.1
918.2,Wing,ASFA,9.3
918.3,Wing,ASFA,7.8
919,Leaf,ASFA,8.832
920,Leaf,ASFA,6.442
920.1,Wing,ASFA,11.7
921.1,Wing,ASFA,11.4
921.2,Wing,ASFA,10.9
922,Leaf,ASFA,9.919
923,Leaf,ASFA,10.072
923.1,Wing,ASFA,10.8
923.2,Wing,ASFA,10.2
923.3,Wing,ASFA,11.3
924,Leaf,ASFA,4.719
924.1,Wing,ASFA,12.1
924.2,Wing,ASFA,10.3
924.3,Wing,ASFA,9.7
925,Leaf,ASFA,6.261
925.2,Wing,ASFA,8.5
926.1,Wing,ASFA,10
926.2,Wing,ASFA,10.1
928,Leaf,ASFA,6.506
928.1,Wing,ASFA,11.1
928.2,Wing,ASFA,9.5
929,Leaf,ASFA,9.142
929.1,Wing,ASFA,7.6
930,Leaf,ASFA,7.094
930.1,Wing,ASFA,8.3
932,Leaf,ASFA,8.006
932.2,Wing,ASFA,9.1
933,Leaf,ASFA,7.038
934.1,Wing,ASFA,13.5
935,Leaf,ASFA,8.577
935.1,Wing,ASFA,9.8
935.2,Wing,ASFA,9.7
936,Leaf,ASFA,7.821
938,Leaf,ASFA,5.237
938.1,Wing,ASFA,9.3
938.4,Wing,ASFA,10.5
939.1,Wing,ASFA,11.7
939.3,Wing,ASFA,11.2
940,Leaf,ASFA,4.975
940.1,Wing,ASFA,11.8
941,Leaf,ASFA,8.354
944.1,Wing,ASFA,9.9
944.2,Wing,ASFA,8.8
946.1,Wing,ASFA,9.2
946.2,Wing,ASFA,10.2
947,Leaf,ASFA,9.064
949.1,Wing,ASFA,10.5
949.2,Wing,ASFA,8.9
949.3,Wing,ASFA,9.1
1000.1,Wing,ASCU,10.8
1000.2,Wing,ASCU,10.6
1000.3,Wing,ASCU,13.4
1001.2,Wing,ASCU,9.8
1001.3,Wing,ASCU,8.8
1001.4,Wing,ASCU,10.1
1001.5,Wing,ASCU,10.1
1003,Leaf,ASCU,5.667
1003.1,Wing,ASCU,10.2
1003.2,Wing,ASCU,11.7
1003.3,Wing,ASCU,11.4
1004,Leaf,ASCU,5.791
1004.1,Wing,ASCU,10.5
1005,Leaf,ASCU,3.544
1005.1,Wing,ASCU,7.7
1006.1,Wing,ASCU,10.1
1007,Leaf,ASCU,3.728
1008,Leaf,ASCU,6.671
1008.1,Wing,ASCU,9.1
1008.2,Wing,ASCU,11.5
1009,Leaf,ASCU,5.799
1009.1,Wing,ASCU,10.4
1009.2,Wing,ASCU,11.4
1010,Leaf,ASCU,4.678
1010.2,Wing,ASCU,12.2
1012,Leaf,ASCU,5.762
1013.1,Wing,ASCU,8.3
1013.2,Wing,ASCU,8.3
1013.3,Wing,ASCU,8.4
1013.4,Wing,ASCU,7.9
1014,Leaf,ASCU,4.806
1014.2,Wing,ASCU,8.4
1014.3,Wing,ASCU,11.8
1016,Leaf,ASCU,5.458
1016.2,Wing,ASCU,5.2
1017,Leaf,ASCU,6.701
1017.1,Wing,ASCU,10.5
1017.2,Wing,ASCU,9.4
1018,Leaf,ASCU,4.745
1018.1,Wing,ASCU,10.4
1018.2,Wing,ASCU,11.3
1019,Leaf,ASCU,5.97
1020,Leaf,ASCU,7.52
1020.1,Wing,ASCU,10.1
1020.2,Wing,ASCU,8.6
1021.1,Wing,ASCU,8.9
1021.2,Wing,ASCU,9.8
1022,Leaf,ASCU,5.618
1022.1,Wing,ASCU,9.9
1022.2,Wing,ASCU,9.2
1023,Leaf,ASCU,6.058
1024,Leaf,ASCU,6.155
1024.1,Wing,ASCU,7.3
1025,Leaf,ASCU,6.638
1025.1,Wing,ASCU,10.1
1026,Leaf,ASCU,6.653
1026.1,Wing,ASCU,10.8
1027,Leaf,ASCU,5.984
1027.1,Wing,ASCU,10.7
1028,Leaf,ASCU,5.371
1028.1,Wing,ASCU,9.2
1029.1,Wing,ASCU,11.7
1029.3,Wing,ASCU,11.4
1029.4,Wing,ASCU,10.4
1030,Leaf,ASCU,7.403
1030.1,Wing,ASCU,9.7
1030.2,Wing,ASCU,11.9
1031,Leaf,ASCU,5.442
1032,Leaf,ASCU,5.881
1032.1,Wing,ASCU,9.1
1032.2,Wing,ASCU,8.3
1033,Leaf,ASCU,6.838
1033.1,Wing,ASCU,8.9
1033.2,Wing,ASCU,10.6
1034,Leaf,ASCU,5.488
1034.1,Wing,ASCU,9.7
1034.2,Wing,ASCU,9.6
1035,Leaf,ASCU,6.896
1035.2,Wing,ASCU,7.5
1036,Leaf,ASCU,4.905
1037,Leaf,ASCU,4.332
1037.1,Wing,ASCU,10.8
1037.2,Wing,ASCU,9.6
1038,Leaf,ASCU,6.715
1038.1,Wing,ASCU,8.3
1038.2,Wing,ASCU,7.8
1039,Leaf,ASCU,4.827
1039.2,Wing,ASCU,8.2
1039.3,Wing,ASCU,8.6
1041,Leaf,ASCU,6.05
1041.1,Wing,ASCU,9.5
1042,Leaf,ASCU,5.973
1042.1,Wing,ASCU,9.7
1043,Leaf,ASCU,6.181
1043.2,Wing,ASCU,9.5
1044,Leaf,ASCU,6.152
1044.3,Wing,ASCU,8
1045,Leaf,ASCU,5.68
1045.1,Wing,ASCU,9.5
1047.1,Wing,ASCU,7.5
1048,Leaf,ASCU,5.844
1048.1,Wing,ASCU,9.5
1049.2,Wing,ASCU,9.5
1050,Leaf,ASCU,5.72
1051,Leaf,ASCU,6.752
1051.1,Wing,ASCU,10.7
1052,Leaf,ASCU,5.167
1052.1,Wing,ASCU,9.5
1054.2,Wing,ASCU,9.5
1055,Leaf,ASCU,4.641
1055.1,Wing,ASCU,9.5
1056,Leaf,ASCU,4.308
1056.1,Wing,ASCU,9.5
1057,Leaf,ASCU,6.06
1058.3,Wing,ASCU,9.5
1059,Leaf,ASCU,4.517
1059.2,Wing,ASCU,9.4
1060,Leaf,ASCU,5.587
1061,Leaf,ASCU,4.521
1061.1,Wing,ASCU,9.5
1062,Leaf,ASCU,5.26
1062.2,Wing,ASCU,10
1063.1,Wing,ASCU,9.5
1000.1B,Wing,ASCU,11.1
1000.2B,Wing,ASCU,12.2
1000.3B,Wing,ASCU,9.9
1000.4B,Wing,ASCU,10.9
1004.1B,Wing,ASCU,9.8
1004.2B,Wing,ASCU,7.9
1006.1B,Wing,ASCU,10.6
1006.2B,Wing,ASCU,9.6
1006.3B,Wing,ASCU,10.9
1017.1B,Wing,ASCU,7.9
1018.1B,Wing,ASCU,9
1026.1B,Wing,ASCU,6.1
1029.1B,Wing,ASCU,9.3
1030.1B,Wing,ASCU,10.6
1030.2B,Wing,ASCU,11.8
1037.1B,Wing,ASCU,10.1
1037.2B,Wing,ASCU,10
1038.1B,Wing,ASCU,7.6
1043.1B,Wing,ASCU,9.5
1057.1EA,Wing,ASCU,9.5
1057.1EB,Wing,ASCU,6.3
401.1B,Wing,GOPH,9.9
401.2B,Wing,GOPH,8.2
402.1B,Wing,GOPH,10.9
407.1B,Wing,GOPH,11.1
407.2B,Wing,GOPH,10.7
408.1B,Wing,GOPH,12.4
408.2B,Wing,GOPH,12.9
408.3B,Wing,GOPH,14.1
413.1B,Wing,GOPH,10.1
413.2B,Wing,GOPH,9.9
415.3B,Wing,GOPH,10.9
416.1B,Wing,GOPH,8.8
416.2B,Wing,GOPH,7.5
421.1B,Wing,GOPH,11.7
426.2B,Wing,GOPH,13.8
428.1B,Wing,GOPH,11.7
428.2B,Wing,GOPH,5.1
438.1B,Wing,GOPH,11.6
438.2B,Wing,GOPH,12.7
438.3B,Wing,GOPH,13.7
443.1B,Wing,GOPH,7
448.1BC,Wing,GOPH,5.7
450.1B,Wing,GOPH,10.9
450.2B,Wing,GOPH,8
453.1B,Wing,GOPH,12.2
453.2B,Wing,GOPH,12.6
453.3B,Wing,GOPH,11.5
500.1B,Wing,AINC,2.9
501.1B,Wing,AINC,11.1
501.2B,Wing,AINC,12
501.3B,Wing,AINC,8.8
503.2B,Wing,AINC,11
506.1B,Wing,AINC,8.4
514.1B,Wing,AINC,10
514.2B,Wing,AINC,7.5
519.1B,Wing,AINC,8.5
519.2B,Wing,AINC,9.2
522.1BG,Wing,AINC,11.7
522.1BP,Wing,AINC,5.5
522.2BE,Wing,AINC,12.1
522.2BG,Wing,AINC,11.5
522.3BG,Wing,AINC,11.2
523.1B,Wing,AINC,9.1
523.2B,Wing,AINC,8.2
523.4B,Wing,AINC,8.5
527.1B,Wing,AINC,7.7
527.2B,Wing,AINC,5.7
532.1B,Wing,AINC,8.5
532.2B,Wing,AINC,8.9
532.3B,Wing,AINC,7.9
533.1B,Wing,AINC,9.9
533.2B,Wing,AINC,10.5
536.1B,Wing,AINC,9.8
536.2B,Wing,AINC,10.8
537.1B,Wing,AINC,10
540.1B,Wing,AINC,10
542.1BA,Wing,AINC,11.8
542.1BEC,Wing,AINC,10.9
542.1BP,Wing,AINC,10.5
542.2BA,Wing,AINC,10.9
542.2BG,Wing,AINC,6.7
542.3BG,Wing,AINC,9
542.4BP,Wing,AINC,10.9
544.1B,Wing,AINC,7.6
549.1B,Wing,AINC,12
549.1G25,Wing,AINC,10.9
549.1G30,Wing,AINC,11.5
549.2B,Wing,AINC,12.1
549.2G25,Wing,AINC,12.1
549.2G30,Wing,AINC,11.1
549.3B,Wing,AINC,11.7
551.1B,Wing,AINC,10
555.1B,Wing,AINC,11.2
555.2B,Wing,AINC,11.1
556.1B,Wing,AINC,10.8
563.1B,Wing,AINC,8.2
563.2B,Wing,AINC,8.7
563.3B,Wing,AINC,9.6
565.2B,Wing,AINC,13.1
567.1B,Wing,AINC,10.3
567.2B,Wing,AINC,8.7
568.1B,Wing,AINC,7.8
568.2B,Wing,AINC,9.5
602.1B,Wing,GOFR,12.2
602.2B,Wing,GOFR,12.5
602.3B,Wing,GOFR,11.1
602.4B,Wing,GOFR,14.4
604.1B,Wing,GOFR,9.8
604.2B,Wing,GOFR,8
605.1B,Wing,GOFR,9.9
605.2B,Wing,GOFR,10.1
618.1B,Wing,GOFR,10.8
618.2B,Wing,GOFR,6.8
618.3B,Wing,GOFR,8.4
623.2BA11,Wing,GOFR,5.9
626.1B,Wing,GOFR,7.1
628.1B,Wing,GOFR,9.8
628.2B,Wing,GOFR,10.9
631.1BS,Wing,GOFR,11.5
631.2BP,Wing,GOFR,14.9
631.2BS,Wing,GOFR,12.1
631.3BP,Wing,GOFR,12.3
635.1B,Wing,GOFR,10.6
635.2B,Wing,GOFR,11.6
635.3B,Wing,GOFR,7.5
647.1H19,Wing,GOFR,10.7
647.2H19,Wing,GOFR,10.1
647.3CX3,Wing,GOFR,11.1
652.2C,Wing,GOFR,9.6
653.2B,Wing,GOFR,10.1
714.1B,Wing,ASPEC,7.7
714.3B,Wing,ASPEC,8.1
719.1B,Wing,ASPEC,10.3
723.1B,Wing,ASPEC,9.8
725.1B,Wing,ASPEC,8.3
725.2B,Wing,ASPEC,6.6
730.1B,Wing,ASPEC,9
730.2B,Wing,ASPEC,8.9
743.1B,Wing,ASPEC,8.3
763.1B,Wing,ASPEC,9.1
766.1BP,Wing,ASPEC,10.9
766.2BP,Wing,ASPEC,8.6
769.1B,Wing,ASPEC,9.1
769.2B,Wing,ASPEC,9
769.3B,Wing,ASPEC,10.1
800.1B,Wing,ASYR,12.2
800.2B,Wing,ASYR,9.7
801.1A,Wing,ASYR,11.7
801.1P,Wing,ASYR,7.9
801.2A,Wing,ASYR,11.5
803.1E,Wing,ASYR,10.5
803.2B,Wing,ASYR,9.7
803.2E,Wing,ASYR,11.7
803.3B,Wing,ASYR,9.5
807.1AU,Wing,ASYR,9.2
807.1CA,Wing,ASYR,13.5
807.1E,Wing,ASYR,10.4
807.2AU,Wing,ASYR,10
807.2E,Wing,ASYR,11.9
808.1BCX3,Wing,ASYR,10.9
808.2BCX3,Wing,ASYR,10.8
809.1A,Wing,ASYR,12.3
809.1P,Wing,ASYR,10.8
809.2P,Wing,ASYR,10.7
817.1B,Wing,ASYR,10.7
823.1B,Wing,ASYR,11.9
824.1B,Wing,ASYR,11.7
828.1BP,Wing,ASYR,9.3
844.2BP,Wing,ASYR,5.9
846.1B,Wing,ASYR,12.1
846.2B,Wing,ASYR,11.9
900.1B,Wing,ASFA,4.9
901.1B,Wing,ASFA,14
901.2B,Wing,ASFA,12.5
901.3B,Wing,ASFA,11.8
903.1B,Wing,ASFA,6.9
903.2B,Wing,ASFA,10.5
903.3B,Wing,ASFA,8.3
904.1B,Wing,ASFA,10.6
904.2B,Wing,ASFA,10.4
904.3B,Wing,ASFA,9.3
909.1B,Wing,ASFA,9.7
909.2B,Wing,ASFA,8.1
909.3B,Wing,ASFA,7.6
913.1B,Wing,ASFA,9.8
923.1B,Wing,ASFA,9.2
924.2B,Wing,ASFA,6.4
925.1B,Wing,ASFA,7.8
926.1B,Wing,ASFA,8.2
928.1B,Wing,ASFA,8.9
928.2B,Wing,ASFA,7.2
933.2B,Wing,ASFA,9.7
938.1B,Wing,ASFA,11.6
938.2B,Wing,ASFA,10.5
938.3B,Wing,ASFA,10.1
