Index,Site,wingmass,pk6,pk8,pk9,pk11,pk13,pk21,pk28,pk33,pk39,pk42,pk51,pk56,pk59,pk62,pk65,pk71,pk78,Total,sex
50,Guam,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447,0,0,0.0447,female
51,Guam,8.8,0,0.1143,0,0.396,0,0,0.3014,0,0,2.1327,0.1453,0.7754,0,0,0.8673,0,0,4.7325,female
52,Guam,7.8,0,0,0,0,0,0,0,0,0,0.8135,0,0.1347,0,0,0.166,0,0,1.1142,male
53,Guam,8.5,0,0,0,0.1791,0,0,0.1776,0,0,0.8724,0,0.3188,0,0,0.539,0,0,2.0869,male
54,Guam,8.9,0.1014,0,0,0.2555,0,0,0,0,0,0.7724,0,0.1886,0,0,0.3507,0,0,1.6687,male
55,Guam,8.3,0,0,0,0.2447,0,0,0,0.0482,0,2.3356,0,0.3705,0,0,0.649,0,0,3.6479,male
56,Saipan,8.7,0,0,0,0.2399,0.2058,0.2635,0.4598,0,0,0.546,0,0.1819,0,0.0724,0.7255,0,0,2.6949,male
57,Rota,10.8,0.689,0,0,0.5891,0,0,0.1964,0,0.0465,1.8296,0,0.7992,0,0,0.8702,0.0718,0,5.0917,male
58,Rota,6.9,0,0,0,0.2965,0,0,0,0,0,1.2283,0,0.3582,0,0,0.724,0,0,2.607,male
59,Rota,11.3,0.2901,0,0,0.4521,0.1107,0,0.238,0,0,1.4157,0,0.8807,0,0,1.2492,0,0,4.6366,male
60,Rota,8.4,0,0,0,0.0914,0,0,0,0,0,0.686,0,0.233,0,0,0.3801,0,0,1.3905,male
61,Rota,11.1,0,0,0,0.1428,0,0,0,0,0,0.8693,0,0.3366,0,0,0.5901,0,0.0655,2.0043,male
62,Saipan,8.5,0,0,0,0,0.1036,0,0,0,0,0,0,0,0,0,0,0,0,0.1036,female
63,Rota,10.2,0,0,0,0.0677,0,0,0.0566,0,0,0.5532,0,0.135,0,0,0.224,0,0,1.0364,female
64,Rota,9,0,0,0,0.0558,0,0,0,0,0,0.2236,0,0.0954,0,0,0.1534,0,0,0.5282,female
65,Rota,11.4,0.4714,0,0,0.4847,0,0,0,0,0.161,0.4844,0.0814,1.1179,0,0,1.142,0,0,3.9429,female
66,Rota,14.4,0,0,0,0.1184,0,0,0.1863,0,0,0.6057,0,0.2844,0,0,0.3823,0,0,1.5771,male
67,Rota,9.9,0,0,0,0.0673,0.0408,0,0,0.0212,0,0.4913,0.0233,0.1734,0,0,0.2561,0.0466,0.0627,1.1826,male
68,Rota,7.2,0,0,0,0,0,0,0,0,0,0.3674,0,0,0,0,0.2293,0,0,0.5967,male
69,Rota,5.2,0,0,0,0.3554,0.2205,0,0,0,0.0769,1.1698,0,0.2299,0,0,0.6612,0,0,2.7137,male
70,Rota,8.8,0,0,0,0,0,0,0,0,0,0.4218,0,0.2188,0,0,0.4206,0,0,1.0612,male
71,Rota,5.5,0,0,0,0.3422,0,0,0,0,0.0977,1.9418,0,0.4229,0,0,0.5267,0,0,3.3312,male
72,Rota,5.6,0,0,0,0.2336,0,0,0.1105,0,0,1.4224,0,0.309,0,0,0.4072,0,0,2.4827,male
73,Rota,12.4,0.2149,0,0,0.2832,0,0,0.3017,0,0,1.0002,0,0.5145,0,0,0.8688,0,0,3.1833,male
