island	site	species	t.alb	a.gra	t.mel	p.bou	p.min	m.flo	o.hae	p.oce	t.bic	o.gla	c.mac	rota6	saipan7	guam1	other
guam	sblas	ficus	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	gvpt	neiso	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3
rota	gvpt	cyno	0	0	0	0	0	0	0	0	4	0	0	1	0	0	5
rota	gvpt	eug	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8
rota	isa	maca	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	isa	prem	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	isa	tri	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
rota	isa	aglaia	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
rota	isa	psych	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	isa	mor	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
rota	palii	eug	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	palii	neiso	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	palii	maca	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	guamia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	guamia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	ochr	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	cyno	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	ochr	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	leuc	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	ficus	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	neiso	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3
saipan	forbi	aglaia	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	forbi	prem	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	guamia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	leuc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
