index	island	site	species	leaf_number	hpi_present	ants_present_leaves	tending	ants_present_trunk	sum_ants	ants_nesting_trunk
172	guam	anao	mor	7	0	0	na	1	6	0
193	guam	racetrack	mor	8	0	0	na	1	24	1
212	guam	nblas	mor	38	0	1	0	1	75	0
213	guam	nblas	mor	12	0	0	na	1	1	0
238	guam	ritidian	mor	13	0	1	0	1	1	0
239	guam	ritidian	mor	12	0	0	na	1	2	0
42	rota	isa	mor	29	1	1	0	1	7	0
45	rota	gvpt	mor	9	1	1	1	0	0	0
83	saipan	mtr1	psych	75	1	1	0	1	1	0
134	saipan	ladt	prem	22	0	1	0	1	5	0
108	saipan	mtr1	neiso	59	0	1	0	1	6	0
117	saipan	ladt	cyno	13	0	1	0	1	4	0
64	saipan	forbi	guamia	14	0	0	na	1	1	0
115	saipan	ladt	guamia	58	0	1	0	1	2	0
151	guam	sblas	neiso	22	0	1	0	1	7	0
152	guam	sblas	neiso	14	0	0	na	1	1	0
153	guam	sblas	neiso	15	0	1	0	1	2	0
173	guam	anao	neiso	35	1	1	1	1	9	0
174	guam	anao	neiso	29	0	0	na	1	12	0
214	guam	nblas	neiso	20	1	1	0	1	10	0
215	guam	nblas	neiso	26	1	1	1	1	27	0
228	guam	nblas	neiso	17	1	1	1	1	3	0
240	guam	ritidian	neiso	27	0	0	na	1	1	0
241	guam	ritidian	neiso	8	0	0	na	0	0	0
249	guam	ritidian	neiso	9	1	1	0	1	1	0
47	rota	palii	neiso	8	0	0	na	1	1	0
49	rota	gvpt	neiso	23	0	1	0	1	3	0
50	rota	gvpt	neiso	8	0	0	na	0	0	0
51	rota	isa	neiso	11	0	0	na	0	0	0
97	saipan	forbi	leuc	38	0	1	0	1	2	0
99	saipan	mtr1	leuc	26	0	0	na	1	2	0
135	saipan	ladt	ochr	55	0	1	0	1	2	0
92	saipan	forbi	prem	13	0	0	na	1	7	0
59	saipan	forbi	aglaia	11	0	1	0	0	0	0
154	guam	sblas	ochr	21	0	1	0	1	2	0
175	guam	anao	ochr	104	0	0	na	1	10	0
176	guam	anao	ochr	90	1	1	0	1	0	1
199	guam	racetrack	ochr	110	1	1	1	1	1	0
200	guam	racetrack	ochr	125	1	1	0	0	0	0
216	guam	nblas	ochr	29	1	1	0	1	58	0
217	guam	nblas	ochr	29	1	1	1	1	98	1
30	rota	palii	ochr	11	0	1	0	0	0	0
62	saipan	mtr1	aglaia	13	0	0	na	0	0	0
68	saipan	forbi	cyno	9	0	0	na	0	0	0
69	saipan	forbi	cyno	35	0	1	0	0	0	0
76	saipan	forbi	eugenia	81	1	0	na	0	0	0
79	saipan	mtr1	eugenia	30	0	0	na	0	0	0
119	saipan	ladt	eugenia	57	0	0	na	0	0	0
120	saipan	ladt	eugenia	66	0	0	na	0	0	0
155	guam	sblas	prem	60	1	1	0	1	3	0
177	guam	anao	prem	38	0	0	na	1	16	0
178	guam	anao	prem	57	0	1	0	1	8	0
194	guam	racetrack	prem	32	0	1	0	1	17	1
195	guam	racetrack	prem	66	0	0	na	1	6	0
218	guam	nblas	prem	25	1	1	0	1	74	0
219	guam	nblas	prem	14	0	1	0	0	0	0
32	rota	isa	prem	7	0	0	na	1	2	0
34	rota	gvpt	prem	51	0	1	0	0	0	0
36	rota	palii	prem	56	1	0	na	0	0	0
77	saipan	forbi	eugenia	28	1	1	0	0	0	0
112	saipan	mtr1	ficus	15	0	0	na	0	0	0
129	saipan	ladt	ficus	36	0	0	na	0	0	0
137	saipan	forbi	guamia	43	0	0	na	0	0	0
96	saipan	forbi	leuc	36	0	0	na	0	0	0
98	saipan	mtr1	leuc	35	0	0	na	0	0	0
156	guam	sblas	psych	63	1	1	0	1	0	1
159	guam	sblas	psych	27	1	1	1	1	27	1
196	guam	racetrack	psych	47	0	1	0	1	0	1
197	guam	racetrack	psych	53	1	1	1	1	0	1
220	guam	nblas	psych	35	1	1	0	1	1	0
221	guam	nblas	psych	29	0	1	0	1	0	1
24	rota	palii	psych	26	0	0	na	0	0	0
26	rota	gvpt	psych	19	0	0	na	1	20	0
27	rota	gvpt	psych	34	0	1	0	0	0	0
28	rota	isa	psych	27	1	1	0	1	3	0
102	saipan	forbi	mor	10	0	0	na	0	0	0
127	saipan	ladt	mor	11	0	1	0	0	0	0
128	saipan	ladt	mor	11	0	0	na	0	0	0
93	saipan	mtr1	prem	41	1	1	1	0	0	0
81	saipan	forbi	psych	39	0	1	0	0	0	0
82	saipan	mtr1	psych	110	0	0	na	0	0	0
158	guam	sblas	tri	32	0	1	0	1	1	0
179	guam	anao	tri	42	0	1	0	1	0	1
180	guam	anao	tri	32	0	1	0	1	2	0
198	guam	racetrack	tri	64	0	1	0	1	0	1
246	guam	ritidian	tri	27	0	0	na	1	4	0
247	guam	ritidian	tri	35	1	1	1	1	7	0
55	rota	isa	tri	12	0	0	na	1	2	0
57	rota	palii	tri	10	0	0	na	0	0	0
58	rota	gvpt	tri	8	0	1	0	0	0	0
