Index,Population,Garden,Genotype,Cumulative_Mass,Bag_Mass,Inside_Bag_Mass,Inside_Bag_Only_Mass,Year,Row,Column
56,Santa_Cruz,SBBG,1,252.73,59.82,23.33,7.12,2016,4,7
14,Santa_Cruz,SBBG,1,136.127,56.791,0,0,2017,1,14
33,Santa_Cruz,SBBG,1,302.435,58.392,0,0,2017,2,15
40,Santa_Cruz,SBBG,1,NA,NA,0,0,2017,3,6
56,Santa_Cruz,SBBG,1,259.943,58.064,0,0,2017,4,7
SC6,Santa_Cruz,SCI,1,NA,NA,0,0,2017,NA,NA
SC29,Santa_Cruz,SCI,1,13.876,7.102,0,0,2017,NA,NA
4,Santa_Cruz,SBBG,3,193.85,59.28,10.07,7.2,2016,1,4
36,Santa_Cruz,SBBG,3,165.1,59.55,7.91,7.12,2016,3,1
98,Santa_Cruz,SBBG,3,197.37,59.01,12.02,7.48,2016,6,17
4,Santa_Cruz,SBBG,3,129.546,57.151,0,0,2017,1,4
36,Santa_Cruz,SBBG,3,9.648,7.128,0,0,2017,3,1
98,Santa_Cruz,SBBG,3,125.713,57.658,0,0,2017,6,17
SC5,Santa_Cruz,SCI,3,9.235,7.391,0,0,2017,NA,NA
SC24,Santa_Cruz,SCI,3,81.434,57.533,0,0,2017,NA,NA
SC32,Santa_Cruz,SCI,3,12.404,7.154,0,0,2017,NA,NA
23,Santa_Cruz,SBBG,4,20.57,7.345,0,0,2017,2,5
SC7,Santa_Cruz,SCI,4,10.229,7.265,0,0,2017,NA,NA
SC13,Santa_Cruz,SCI,4,13.661,7.26,0,0,2017,NA,NA
10,Santa_Cruz,SBBG,10,362.35,59.29,84.9,7.29,2016,1,10
23,Santa_Cruz,SBBG,10,149.71,60.47,12.42,7.17,2016,2,5
76,Santa_Cruz,SBBG,10,258.62,62.99,52.92,14.48,2016,5,11
89,Santa_Cruz,SBBG,10,195.69,58.87,18.91,7.09,2016,6,8
10,Santa_Cruz,SBBG,10,139.988,57.607,0,0,2017,1,10
76,Santa_Cruz,SBBG,10,105.581,57.276,0,0,2017,5,11
89,Santa_Cruz,SBBG,10,173.36,57.369,0,0,2017,6,8
SC3,Santa_Cruz,SCI,10,68.904,57.5,0,0,2017,NA,NA
SC22,Santa_Cruz,SCI,10,70.127,57.174,0,0,2017,NA,NA
