SampleID,Source,Site,Species,PlantID,Age,Tissue_Mass,Dilution1,Dilution2,Absorbance,Sample Concentration,Tissue Concentration,Notes
155,Stunt Ranch,Stunt Ranch,Heteromeles,3,old,49,30,10,0.087,0.053548738,NA,
156,Stunt Ranch,Stunt Ranch,Heteromeles,3,young,56.7,30,10,0.077,0.035396624,NA,
157,Santa Cruz,Santa Cruz,Heteromeles,32,old,47.5,30,10,0.181,0.224178617,1.415864948,
158,Santa Cruz,Santa Cruz,Heteromeles,32,young,63.7,30,10,0.166,0.196950445,0.927553115,
159,Stunt Ranch,Stunt Ranch,Heteromeles,5,old,50,30,10,0.155,0.176983119,1.061898711,
160,Stunt Ranch,Stunt Ranch,Heteromeles,5,young,39,30,10,0.152,0.171537484,1.319519109,
161,Santa Rosa,Santa Rosa,Prunus,15,old,52.2,30,10,0.199,0.256852423,1.476163352,
162,Santa Rosa,Santa Rosa,Prunus,15,young,42.5,30,10,0.111,0.097113814,0.685509274,
163,Santa Cruz,Santa Cruz,Heteromeles,33,old,64.9,30,10,0.065,0.013614086,0.06293106,
164,Santa Cruz,Santa Cruz,Heteromeles,33,young,31.3,30,10,0.109,0.093483391,0.896006941,
165,Santa Cruz,Santa Cruz,Prunus,36,old,26.8,30,10,0.079,0.039027047,0.436869925,
166,Santa Rosa,Santa Rosa,Heteromeles,20,old,42.8,30,10,0.156,0.17879833,1.253259322,
167,Santa Rosa,Santa Rosa,Heteromeles,20,young,40.3,30,10,0.117,0.108005083,0.804008059,
168,Catalina,Catalina,Heteromeles,47,old,52.3,30,10,0.114,0.102559448,0.588295114,
169,Catalina,Catalina,Heteromeles,47,young,53,30,10,0.258,0.3639499,2.060093775,
170,Catalina,Catalina,Heteromeles,51,old,65.2,30,10,0.157,0.180613541,0.831043903,
171,Catalina,Catalina,Heteromeles,51,young,43.8,30,10,0.185,0.231439463,1.585201799,
172,Santa Cruz,Santa Cruz,Prunus,26,old,40.2,30,10,0.115,0.10437466,0.778915371,
173,Santa Cruz,Santa Cruz,Prunus,26,young,35.3,30,10,0.201,0.260482846,2.213735237,
174,Catalina,Catalina,Heteromeles,56,old,52.8,30,10,0.095,0.06807043,0.386763808,
175,Catalina,Catalina,Heteromeles,56,young,50,30,10,0.101,0.078961699,0.473770194,
176,Santa Rosa,Santa Rosa,Heteromeles,22,old,42.6,30,10,0.058,0.000907606,0.00639159,
177,Santa Rosa,Santa Rosa,Heteromeles,22,young,52.3,30,10,0.058,0.000907606,0.005206151,
178,Stunt Ranch,Stunt Ranch,Prunus,2,old,30.9,30,10,0.157,0.180613541,1.753529529,
179,Stunt Ranch,Stunt Ranch,Prunus,2,young,44.4,30,10,0.237,0.325830459,2.201557157,
180,RSA,Catalina,Prunus,19685-C2,old,34.3,30,10,0.172,0.207841714,1.817857553,
181,RSA,San Dimas,Prunus,24404-A2,old,33,30,10,0.179,0.220548194,2.004983581,
