Species,Number,Position,Mass
Ceanothus,69,Upper,0.7857
Ceanothus,70,Lower,0.3054
Ceanothus,70,Upper,0.6318
Dendromecon,1,Lower,0.3700
Dendromecon,2,Lower,0.3738
Dendromecon,3,Lower,0.6041
Dendromecon,4,Lower,0.3565
Dendromecon,5,Lower,0.8464
Dendromecon,6,Lower,0.6956
Dendromecon,7,Lower,0.9124
Dendromecon,8,Lower,1.5203
Dendromecon,9,Lower,1.3360
Dendromecon,10,Lower,1.6236
Dendromecon,11,Upper,0.8407
Dendromecon,13,Lower,1.0216
Dendromecon,13,Upper,0.7756
Dendromecon,14,Lower,1.4692
Dendromecon,14,Upper,1.8757
Dendromecon,15,Lower,1.0250
Dendromecon,15,Upper,2.3413
Dendromecon,16,Lower,1.2251
Dendromecon,17,Lower,0.2906
Dendromecon,17,Upper,0.6385
Dendromecon,18,Lower,0.9253
Dendromecon,18,Upper,1.1023
Dendromecon,19,Lower,1.0028
Dendromecon,19,Upper,1.9694
Dendromecon,20,Lower,0.4809
Dendromecon,21,Lower,0.4433
Dendromecon,21,Upper,0.8955
Dendromecon,22,Lower,0.9566
Dendromecon,22,Upper,0.9081
Dendromecon,23,Lower,1.1475
Dendromecon,24,Lower,0.1101
Dendromecon,24,Upper,0.1947
Dendromecon,25,Lower,0.2109
Dendromecon,25,Upper,0.1766
Dendromecon,26,Lower,0.2708
Dendromecon,26,Upper,0.1824
Dendromecon,27,Lower,0.3814
Dendromecon,27,Upper,0.8922
Dendromecon,28,Lower,0.2309
Dendromecon,28,Upper,0.4167
Dendromecon,29,Lower,0.1928
Dendromecon,29,Upper,0.2628
Dendromecon,30,Lower,0.2988
Dendromecon,31,Lower,0.3627
Dendromecon,31,Upper,0.2794
Dendromecon,32,Lower,0.2092
Dendromecon,32,Upper,0.3131
Dendromecon,33,Lower,0.2845
Dendromecon,33,Upper,0.1968
Dendromecon,34,Lower,0.2609
Dendromecon,34,Upper,0.7076
Dendromecon,35,Lower,0.2842
Dendromecon,35,Upper,0.7189
Dendromecon,36,Lower,0.3047
Dendromecon,36,Upper,0.6779
Dendromecon,37,Upper,0.5220
Dendromecon,38,Lower,0.6811
Dendromecon,38,Upper,0.3519
Dendromecon,39,Lower,0.3518
Dendromecon,39,Upper,0.3945
Dendromecon,40,Lower,0.3504
Dendromecon,40,Upper,0.7553
Dendromecon,41,Lower,0.8010
Dendromecon,41,Upper,0.7370
Dendromecon,42,Lower,1.8534
Dendromecon,42,Upper,0.7433
Dendromecon,43,Lower,0.7555
Dendromecon,44,Lower,0.2881
Dendromecon,44,Upper,0.8660
Dendromecon,45,Lower,0.4488
Dendromecon,46,Lower,0.2857
Dendromecon,47,Lower,0.4341
Dendromecon,48,Lower,0.4228
Dendromecon,48,Upper,0.3841
Dendromecon,49,Lower,0.4539
Dendromecon,49,Upper,0.3620
Dendromecon,50,Lower,0.8315
Dendromecon,51,Lower,0.7923
Dendromecon,52,Lower,0.4285
Dendromecon,52,Upper,0.5877
Dendromecon,53,Lower,0.3950
Dendromecon,53,Upper,0.4782
Dendromecon,SBBG,Lower,0.8504
Dendromecon,SBBG,Upper,1.1357
Heteromeles,1,Lower,2.4810
Heteromeles,1,Upper,2.6323
Heteromeles,2,Lower,3.2218
Heteromeles,2,Upper,3.2003
Heteromeles,3,Lower,2.7132
Heteromeles,3,Upper,2.4900
Heteromeles,4,Lower,1.7996
Heteromeles,4,Upper,2.1856
Heteromeles,5,Lower,2.1009
Heteromeles,5,Upper,2.4523
Heteromeles,6,Lower,0.9807
Heteromeles,6,Upper,1.6088
Heteromeles,8,Lower,1.7890
Heteromeles,8,Upper,2.2956
Heteromeles,9,Lower,1.5981
Heteromeles,9,Upper,2.1747
Heteromeles,10,Lower,1.7789
Heteromeles,10,Upper,2.5359
Heteromeles,11,Lower,0.9699
Heteromeles,11,Upper,1.8781
Heteromeles,12,Lower,2.9869
Heteromeles,13,Lower,2.0531
Heteromeles,14,Lower,2.4840
Heteromeles,15,Lower,1.8476
Heteromeles,16,Lower,2.0404
Heteromeles,17,Lower,1.9088
Heteromeles,18,Lower,1.3462
Heteromeles,18,Upper,3.3441
Heteromeles,19,Lower,1.8101
Heteromeles,19,Upper,3.1215
Heteromeles,20,Lower,2.3994
Heteromeles,21,Lower,2.3600
Heteromeles,21,Upper,2.8895
Heteromeles,22,Lower,1.6680
Heteromeles,22,Upper,2.7109
Heteromeles,23,Lower,1.8468
