File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/764.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	536
Injection Number	94
Position	RH5
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/5/2019
Injection Time	7:45:06 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.022366
Signal Max.	870.441765
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.516667	0.2	98.415822
0.520000	0.2	97.871689
0.523333	0.2	96.827633
0.526667	0.2	95.308110
0.530000	0.2	93.350014
0.533333	0.2	91.001485
0.536667	0.2	88.320052
0.540000	0.2	85.370203
0.543333	0.2	82.219789
0.546667	0.2	78.935790
0.550000	0.2	75.581412
0.553333	0.2	72.215328
0.556667	0.2	68.892107
0.560000	0.2	65.663035
0.563333	0.2	62.577281
0.566667	0.2	59.682583
0.570000	0.2	57.024088
0.573333	0.2	54.640890
0.576667	0.2	52.560910
0.580000	0.2	50.795280
0.583333	0.2	49.334198
0.586667	0.2	48.147054
0.590000	0.2	47.187518
0.593333	0.2	46.400756
0.596667	0.2	45.729896
0.600000	0.2	45.121191
0.603333	0.2	44.528102
0.606667	0.2	43.913643
0.610000	0.2	43.250142
0.613333	0.2	42.517505
0.616667	0.2	41.702164
0.620000	0.2	40.797205
0.623333	0.2	39.802747
0.626667	0.2	38.725687
0.630000	0.2	37.578526
0.633333	0.2	36.378322
0.636667	0.2	35.146699
0.640000	0.2	33.909769
0.643333	0.2	32.696911
0.646667	0.2	31.539223
0.650000	0.2	30.468121
0.653333	0.2	29.512994
0.656667	0.2	28.697571
0.660000	0.2	28.036104
0.663333	0.2	27.530509
0.666667	0.2	27.169764
0.670000	0.2	26.931842
0.673333	0.2	26.786507
0.676667	0.2	26.698006
0.680000	0.2	26.628821
0.683333	0.2	26.544326
0.686667	0.2	26.416268
0.690000	0.2	26.224409
0.693333	0.2	25.957199
0.696667	0.2	25.611564
0.700000	0.2	25.191456
0.703333	0.2	24.705695
0.706667	0.2	24.165968
0.710000	0.2	23.585450
0.713333	0.2	22.977865
0.716667	0.2	22.356319
0.720000	0.2	21.731980
0.723333	0.2	21.113403
0.726667	0.2	20.506766
0.730000	0.2	19.916519
0.733333	0.2	19.345713
0.736667	0.2	18.796251
0.740000	0.2	18.269847
0.743333	0.2	17.768826
0.746667	0.2	17.295479
0.750000	0.2	16.851016
0.753333	0.2	16.435515
0.756667	0.2	16.048408
0.760000	0.2	15.688643
0.763333	0.2	15.354590
0.766667	0.2	15.044144
0.770000	0.2	14.755248
0.773333	0.2	14.486459
0.776667	0.2	14.236858
0.780000	0.2	14.005576
0.783333	0.2	13.791804
0.786667	0.2	13.594721
0.790000	0.2	13.412785
0.793333	0.2	13.243620
0.796667	0.2	13.085023
0.800000	0.2	12.935507
0.803333	0.2	12.793741
0.806667	0.2	12.658306
0.810000	0.2	12.528113
0.813333	0.2	12.402350
0.816667	0.2	12.279946
0.820000	0.2	12.159909
0.823333	0.2	12.042090
0.826667	0.2	11.926713
0.830000	0.2	11.813394
0.833333	0.2	11.701348
0.836667	0.2	11.590029
0.840000	0.2	11.478966
0.843333	0.2	11.367476
0.846667	0.2	11.254895
0.850000	0.2	11.140568
0.853333	0.2	11.023675
0.856667	0.2	10.903607
0.860000	0.2	10.780360
0.863333	0.2	10.654285
0.866667	0.2	10.525892
0.870000	0.2	10.396101
0.873333	0.2	10.266075
0.876667	0.2	10.136981
0.880000	0.2	10.010349
0.883333	0.2	9.888122
0.886667	0.2	9.772337
0.890000	0.2	9.665151
0.893333	0.2	9.568979
0.896667	0.2	9.486566
0.900000	0.2	9.421232
0.903333	0.2	9.377246
0.906667	0.2	9.359706
0.910000	0.2	9.373852
0.913333	0.2	9.424576
0.916667	0.2	9.515941
0.920000	0.2	9.649924
0.923333	0.2	9.825321
0.926667	0.2	10.038039
0.930000	0.2	10.281825
0.933333	0.2	10.548637
0.936667	0.2	10.829195
0.940000	0.2	11.113498
0.943333	0.2	11.391160
0.946667	0.2	11.651988
0.950000	0.2	11.886994
0.953333	0.2	12.089330
0.956667	0.2	12.254283
0.960000	0.2	12.378734
0.963333	0.2	12.461027
0.966667	0.2	12.501086
0.970000	0.2	12.500384
0.973333	0.2	12.461504
0.976667	0.2	12.387275
0.980000	0.2	12.279924
0.983333	0.2	12.140918
0.986667	0.2	11.971915
0.990000	0.2	11.775814
0.993333	0.2	11.556483
0.996667	0.2	11.317803
1.000000	0.2	11.063515
1.003333	0.2	10.797778
1.006667	0.2	10.525328
1.010000	0.2	10.251038
1.013333	0.2	9.979641
1.016667	0.2	9.715623
1.020000	0.2	9.462846
1.023333	0.2	9.224413
1.026667	0.2	9.002913
1.030000	0.2	8.800400
1.033333	0.2	8.618070
1.036667	0.2	8.455947
1.040000	0.2	8.313001
1.043333	0.2	8.187731
1.046667	0.2	8.078420
1.050000	0.2	7.983074
