File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/663.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	844
Injection Number	96
Position	RH7
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/5/2019
Injection Time	8:47:25 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.005808
Signal Max.	778.576731
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000041
0.006667	0.2	-0.000252
0.010000	0.2	-0.000693
0.013333	0.2	-0.001095
0.016667	0.2	-0.000903
0.020000	0.2	0.000248
0.023333	0.2	0.002012
0.026667	0.2	0.003556
0.030000	0.2	0.004348
0.033333	0.2	0.004425
0.036667	0.2	0.004121
0.040000	0.2	0.003743
0.043333	0.2	0.003405
0.046667	0.2	0.003109
0.050000	0.2	0.002768
0.053333	0.2	0.002137
0.056667	0.2	0.000983
0.060000	0.2	-0.000729
0.063333	0.2	-0.002754
0.066667	0.2	-0.004455
0.070000	0.2	-0.005058
0.073333	0.2	-0.004197
0.076667	0.2	-0.002018
0.080000	0.2	0.000906
0.083333	0.2	0.003546
0.086667	0.2	0.004859
0.090000	0.2	0.004570
0.093333	0.2	0.003321
0.096667	0.2	0.002046
0.100000	0.2	0.001327
0.103333	0.2	0.001338
0.106667	0.2	0.001852
0.110000	0.2	0.002169
0.113333	0.2	0.001632
0.116667	0.2	0.000326
0.120000	0.2	-0.001097
0.123333	0.2	-0.002082
0.126667	0.2	-0.002351
0.130000	0.2	-0.001852
0.133333	0.2	-0.000758
0.136667	0.2	0.000707
0.140000	0.2	0.002262
0.143333	0.2	0.003320
0.146667	0.2	0.003112
0.150000	0.2	0.001360
0.153333	0.2	-0.001309
0.156667	0.2	-0.003858
0.160000	0.2	-0.005461
0.163333	0.2	-0.005808
0.166667	0.2	-0.005335
0.170000	0.2	-0.004563
0.173333	0.2	-0.003173
0.176667	0.2	-0.000401
0.180000	0.2	0.004604
0.183333	0.2	0.013604
0.186667	0.2	0.029578
0.190000	0.2	0.055624
0.193333	0.2	0.093227
0.196667	0.2	0.141138
0.200000	0.2	0.196981
0.203333	0.2	0.263976
0.206667	0.2	0.362461
0.210000	0.2	0.540425
0.213333	0.2	0.872571
0.216667	0.2	1.438744
0.220000	0.2	2.283602
0.223333	0.2	3.376916
0.226667	0.2	4.601721
0.230000	0.2	5.784221
0.233333	0.2	6.757780
0.236667	0.2	7.441012
0.240000	0.2	7.908415
0.243333	0.2	8.436938
0.246667	0.2	9.517065
0.250000	0.2	11.818640
0.253333	0.2	16.106824
0.256667	0.2	23.121844
0.260000	0.2	33.462787
0.263333	0.2	47.533004
0.266667	0.2	65.596017
0.270000	0.2	87.947683
0.273333	0.2	115.145525
0.276667	0.2	148.194029
0.280000	0.2	188.610051
0.283333	0.2	238.345509
0.286667	0.2	299.499846
0.290000	0.2	373.522998
0.293333	0.2	459.539501
0.296667	0.2	552.346330
0.300000	0.2	641.962536
0.303333	0.2	715.992617
0.306667	0.2	763.584820
0.310000	0.2	778.576731
0.313333	0.2	760.611133
0.316667	0.2	714.503622
0.320000	0.2	648.552238
0.323333	0.2	572.412937
0.326667	0.2	495.233940
0.330000	0.2	424.524515
0.333333	0.2	365.589026
0.336667	0.2	321.123138
0.340000	0.2	291.125700
0.343333	0.2	273.620417
0.346667	0.2	266.086326
0.350000	0.2	266.830895
0.353333	0.2	275.667502
0.356667	0.2	293.741638
0.360000	0.2	322.528332
0.363333	0.2	362.166709
0.366667	0.2	409.895511
0.370000	0.2	459.817710
0.373333	0.2	504.509695
0.376667	0.2	537.527896
0.380000	0.2	555.286699
0.383333	0.2	557.536217
0.386667	0.2	546.664632
0.390000	0.2	526.468601
0.393333	0.2	500.958256
0.396667	0.2	473.515611
0.400000	0.2	446.492925
0.403333	0.2	421.184229
0.406667	0.2	398.034104
0.410000	0.2	376.941807
0.413333	0.2	357.551860
0.416667	0.2	339.471652
0.420000	0.2	322.398791
0.423333	0.2	306.166579
0.426667	0.2	290.730626
0.430000	0.2	276.124515
0.433333	0.2	262.407941
0.436667	0.2	249.623594
0.440000	0.2	237.771919
0.443333	0.2	226.805392
0.446667	0.2	216.638665
0.450000	0.2	207.167682
0.453333	0.2	198.290105
0.456667	0.2	189.922285
0.460000	0.2	182.010604
0.463333	0.2	174.535812
0.466667	0.2	167.510482
0.470000	0.2	160.971161
0.473333	0.2	154.966027
0.476667	0.2	149.537966
0.480000	0.2	144.705597
0.483333	0.2	140.448225
0.486667	0.2	136.699806
0.490000	0.2	133.353694
0.493333	0.2	130.277166
0.496667	0.2	127.331644
0.500000	0.2	124.393090
0.503333	0.2	121.368201
0.506667	0.2	118.203094
0.510000	0.2	114.882517
0.513333	0.2	111.421104
0.516667	0.2	107.851279
0.520000	0.2	104.211928
0.523333	0.2	100.540237
0.526667	0.2	96.868112
0.530000	0.2	93.222777
0.533333	0.2	89.629114
0.536667	0.2	86.112094
0.540000	0.2	82.698901
0.543333	0.2	79.419449
0.546667	0.2	76.304610
0.550000	0.2	73.383179
0.553333	0.2	70.678892
0.556667	0.2	68.208672
0.560000	0.2	65.982379
0.563333	0.2	64.002943
0.566667	0.2	62.266492
0.570000	0.2	60.763270
0.573333	0.2	59.478722
0.576667	0.2	58.393724
0.580000	0.2	57.484475
0.583333	0.2	56.722726
0.586667	0.2	56.077145
0.590000	0.2	55.516169
0.593333	0.2	55.010845
0.596667	0.2	54.536019
0.600000	0.2	54.070203
0.603333	0.2	53.595553
0.606667	0.2	53.097709
0.610000	0.2	52.564737
0.613333	0.2	51.985758
0.616667	0.2	51.350278
0.620000	0.2	50.649022
0.623333	0.2	49.875848
0.626667	0.2	49.029072
0.630000	0.2	48.111948
0.633333	0.2	47.133637
0.636667	0.2	46.110700
0.640000	0.2	45.068107
0.643333	0.2	44.038837
0.646667	0.2	43.061845
0.650000	0.2	42.179214
0.653333	0.2	41.432517
0.656667	0.2	40.857979
0.660000	0.2	40.481037
0.663333	0.2	40.311351
0.666667	0.2	40.339818
0.670000	0.2	40.538509
0.673333	0.2	40.863262
0.676667	0.2	41.258942
0.680000	0.2	41.666558
0.683333	0.2	42.030029
0.686667	0.2	42.301302
0.690000	0.2	42.443950
0.693333	0.2	42.435418
0.696667	0.2	42.267197
0.700000	0.2	41.942790
0.703333	0.2	41.475076
0.706667	0.2	40.883978
0.710000	0.2	40.194071
0.713333	0.2	39.432268
0.716667	0.2	38.625565
0.720000	0.2	37.798912
0.723333	0.2	36.974167
0.726667	0.2	36.170246
0.730000	0.2	35.403044
0.733333	0.2	34.684138
0.736667	0.2	34.019751
0.740000	0.2	33.411761
0.743333	0.2	32.859388
0.746667	0.2	32.359745
0.750000	0.2	31.907743
0.753333	0.2	31.496725
0.756667	0.2	31.119742
0.760000	0.2	30.770197
0.763333	0.2	30.441903
0.766667	0.2	30.129577
0.770000	0.2	29.829339
0.773333	0.2	29.538440
0.776667	0.2	29.254933
0.780000	0.2	28.977800
0.783333	0.2	28.706776
0.786667	0.2	28.441964
0.790000	0.2	28.183973
0.793333	0.2	27.933960
0.796667	0.2	27.692888
0.800000	0.2	27.460661
0.803333	0.2	27.236032
0.806667	0.2	27.017299
0.810000	0.2	26.803035
0.813333	0.2	26.591990
0.816667	0.2	26.382465
0.820000	0.2	26.172232
0.823333	0.2	25.959078
0.826667	0.2	25.741099
0.830000	0.2	25.516205
0.833333	0.2	25.281815
0.836667	0.2	25.035486
0.840000	0.2	24.775705
0.843333	0.2	24.502171
0.846667	0.2	24.215616
0.850000	0.2	23.917040
0.853333	0.2	23.607138
0.856667	0.2	23.286644
0.860000	0.2	22.956838
0.863333	0.2	22.619423
0.866667	0.2	22.276033
0.870000	0.2	21.928046
0.873333	0.2	21.576902
0.876667	0.2	21.224324
0.880000	0.2	20.871986
0.883333	0.2	20.521039
0.886667	0.2	20.172209
0.890000	0.2	19.826622
0.893333	0.2	19.486529
0.896667	0.2	19.155141
0.900000	0.2	18.835732
