File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/357.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	406.2
Injection Number	230
Position	BC9
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	3/21/2019
Injection Time	6:29:28 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.011760
Signal Max.	594.344949
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000151
0.006667	0.2	-0.001001
0.010000	0.2	-0.003041
0.013333	0.2	-0.005761
0.016667	0.2	-0.007907
0.020000	0.2	-0.008862
0.023333	0.2	-0.009173
0.026667	0.2	-0.009721
0.030000	0.2	-0.010638
0.033333	0.2	-0.011333
0.036667	0.2	-0.011447
0.040000	0.2	-0.011147
0.043333	0.2	-0.010614
0.046667	0.2	-0.009931
0.050000	0.2	-0.009381
0.053333	0.2	-0.009376
0.056667	0.2	-0.010052
0.060000	0.2	-0.011071
0.063333	0.2	-0.011739
0.066667	0.2	-0.011393
0.070000	0.2	-0.009862
0.073333	0.2	-0.007529
0.076667	0.2	-0.005118
0.080000	0.2	-0.003426
0.083333	0.2	-0.002800
0.086667	0.2	-0.002893
0.090000	0.2	-0.003319
0.093333	0.2	-0.004354
0.096667	0.2	-0.006319
0.100000	0.2	-0.008469
0.103333	0.2	-0.009499
0.106667	0.2	-0.009162
0.110000	0.2	-0.008453
0.113333	0.2	-0.008285
0.116667	0.2	-0.008582
0.120000	0.2	-0.008604
0.123333	0.2	-0.007870
0.126667	0.2	-0.006653
0.130000	0.2	-0.005747
0.133333	0.2	-0.005887
0.136667	0.2	-0.007128
0.140000	0.2	-0.008918
