File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/46184.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1030.1
Injection Number	512
Position	BB10
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	6/22/2019
Injection Time	3:23:47 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.006717
Signal Max.	793.923383
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000006
0.006667	0.2	-0.000059
0.010000	0.2	-0.000555
0.013333	0.2	-0.001876
0.016667	0.2	-0.003705
0.020000	0.2	-0.005020
0.023333	0.2	-0.005058
0.026667	0.2	-0.003953
0.030000	0.2	-0.002479
0.033333	0.2	-0.001375
0.036667	0.2	-0.000899
0.040000	0.2	-0.000972
0.043333	0.2	-0.001462
0.046667	0.2	-0.002094
0.050000	0.2	-0.002618
0.053333	0.2	-0.003197
0.056667	0.2	-0.003909
0.060000	0.2	-0.004227
0.063333	0.2	-0.003837
0.066667	0.2	-0.003204
0.070000	0.2	-0.002740
0.073333	0.2	-0.002289
0.076667	0.2	-0.001557
0.080000	0.2	-0.000603
0.083333	0.2	-0.000094
0.086667	0.2	-0.000767
0.090000	0.2	-0.002394
0.093333	0.2	-0.004088
0.096667	0.2	-0.005495
0.100000	0.2	-0.006554
0.103333	0.2	-0.006717
0.106667	0.2	-0.005437
0.110000	0.2	-0.002946
0.113333	0.2	-0.000211
0.116667	0.2	0.001600
0.120000	0.2	0.001708
0.123333	0.2	0.000290
0.126667	0.2	-0.001542
0.130000	0.2	-0.002605
0.133333	0.2	-0.002387
0.136667	0.2	-0.001001
0.140000	0.2	0.001098
0.143333	0.2	0.003184
0.146667	0.2	0.004681
0.150000	0.2	0.005669
0.153333	0.2	0.006558
0.156667	0.2	0.007554
0.160000	0.2	0.008640
0.163333	0.2	0.009572
0.166667	0.2	0.009970
0.170000	0.2	0.009694
0.173333	0.2	0.008920
0.176667	0.2	0.007887
0.180000	0.2	0.006919
0.183333	0.2	0.006545
0.186667	0.2	0.007393
0.190000	0.2	0.010842
0.193333	0.2	0.022395
0.196667	0.2	0.058859
0.200000	0.2	0.156887
0.203333	0.2	0.374573
0.206667	0.2	0.776000
0.210000	0.2	1.398601
0.213333	0.2	2.219074
0.216667	0.2	3.141014
0.220000	0.2	4.017357
0.223333	0.2	4.698490
0.226667	0.2	5.081483
0.230000	0.2	5.138673
0.233333	0.2	4.918838
0.236667	0.2	4.530579
0.240000	0.2	4.125679
0.243333	0.2	3.896175
0.246667	0.2	4.087756
0.250000	0.2	5.018111
0.253333	0.2	7.079288
0.256667	0.2	10.711302
0.260000	0.2	16.360464
0.263333	0.2	24.460956
0.266667	0.2	35.482833
0.270000	0.2	50.065959
0.273333	0.2	69.214141
0.276667	0.2	94.478578
0.280000	0.2	128.036916
0.283333	0.2	172.573827
