File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/557.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	940.1
Injection Number	167
Position	BF4
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/6/2019
Injection Time	9:53:34 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.001233
Signal Max.	1,055.195231
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.526667	0.2	42.456018
0.530000	0.2	41.452609
0.533333	0.2	40.398604
0.536667	0.2	39.304865
0.540000	0.2	38.185512
0.543333	0.2	37.056651
0.546667	0.2	35.935278
0.550000	0.2	34.838224
0.553333	0.2	33.780569
0.556667	0.2	32.773953
0.560000	0.2	31.826083
0.563333	0.2	30.941086
0.566667	0.2	30.120041
0.570000	0.2	29.361883
0.573333	0.2	28.664155
0.576667	0.2	28.023272
0.580000	0.2	27.434876
0.583333	0.2	26.894353
0.586667	0.2	26.396997
0.590000	0.2	25.937644
0.593333	0.2	25.510323
0.596667	0.2	25.108499
0.600000	0.2	24.725711
0.603333	0.2	24.356145
0.606667	0.2	23.994812
0.610000	0.2	23.637193
0.613333	0.2	23.278911
0.616667	0.2	22.916422
0.620000	0.2	22.548352
0.623333	0.2	22.175817
0.626667	0.2	21.801463
0.630000	0.2	21.428671
0.633333	0.2	21.061331
0.636667	0.2	20.703542
0.640000	0.2	20.359027
0.643333	0.2	20.030448
0.646667	0.2	19.719259
0.650000	0.2	19.426334
0.653333	0.2	19.152320
0.656667	0.2	18.897177
0.660000	0.2	18.659597
0.663333	0.2	18.436977
0.666667	0.2	18.226214
0.670000	0.2	18.024492
0.673333	0.2	17.829190
0.676667	0.2	17.637797
0.680000	0.2	17.448565
0.683333	0.2	17.260917
0.686667	0.2	17.075041
0.690000	0.2	16.891467
0.693333	0.2	16.711151
0.696667	0.2	16.535611
0.700000	0.2	16.366998
0.703333	0.2	16.208592
0.706667	0.2	16.065281
0.710000	0.2	15.943003
0.713333	0.2	15.847721
0.716667	0.2	15.784771
0.720000	0.2	15.758243
0.723333	0.2	15.770010
0.726667	0.2	15.818492
0.730000	0.2	15.897567
0.733333	0.2	15.996493
0.736667	0.2	16.101662
0.740000	0.2	16.199461
0.743333	0.2	16.278161
0.746667	0.2	16.328282
0.750000	0.2	16.342434
0.753333	0.2	16.315357
0.756667	0.2	16.244305
0.760000	0.2	16.129073
0.763333	0.2	15.971321
0.766667	0.2	15.774279
0.770000	0.2	15.542754
0.773333	0.2	15.282370
0.776667	0.2	14.999065
0.780000	0.2	14.699561
0.783333	0.2	14.391558
0.786667	0.2	14.083406
0.790000	0.2	13.783466
0.793333	0.2	13.499239
0.796667	0.2	13.236740
0.800000	0.2	12.999816
0.803333	0.2	12.789709
0.806667	0.2	12.605876
0.810000	0.2	12.447053
0.813333	0.2	12.311458
0.816667	0.2	12.196925
0.820000	0.2	12.101338
0.823333	0.2	12.022811
0.826667	0.2	11.959600
0.830000	0.2	11.910028
0.833333	0.2	11.872354
0.836667	0.2	11.844696
0.840000	0.2	11.825445
0.843333	0.2	11.813931
0.846667	0.2	11.810170
0.850000	0.2	11.813665
0.853333	0.2	11.822636
0.856667	0.2	11.834393
0.860000	0.2	11.846122
0.863333	0.2	11.855132
0.866667	0.2	11.858709
0.870000	0.2	11.854168
0.873333	0.2	11.839168
0.876667	0.2	11.812059
0.880000	0.2	11.772078
0.883333	0.2	11.719019
0.886667	0.2	11.652388
0.890000	0.2	11.571171
0.893333	0.2	11.474918
0.896667	0.2	11.364684
0.900000	0.2	11.242742
0.903333	0.2	11.111947
0.906667	0.2	10.975013
0.910000	0.2	10.833542
0.913333	0.2	10.687892
0.916667	0.2	10.538322
0.920000	0.2	10.386173
0.923333	0.2	10.233714
0.926667	0.2	10.083036
0.930000	0.2	9.935733
0.933333	0.2	9.793325
0.936667	0.2	9.657119
0.940000	0.2	9.527722
0.943333	0.2	9.405003
0.946667	0.2	9.288567
0.950000	0.2	9.178449
0.953333	0.2	9.075137
0.956667	0.2	8.978827
0.960000	0.2	8.889445
0.963333	0.2	8.807308
0.966667	0.2	8.732997
0.970000	0.2	8.666978
0.973333	0.2	8.609776
0.976667	0.2	8.561963
0.980000	0.2	8.523790
0.983333	0.2	8.494913
0.986667	0.2	8.474385
0.990000	0.2	8.460974
0.993333	0.2	8.453565
0.996667	0.2	8.451173
1.000000	0.2	8.452712
1.003333	0.2	8.456940
1.006667	0.2	8.462733
1.010000	0.2	8.469435
1.013333	0.2	8.476729
1.016667	0.2	8.484179
1.020000	0.2	8.491220
1.023333	0.2	8.497616
1.026667	0.2	8.503530
1.030000	0.2	8.509033
1.033333	0.2	8.513632
1.036667	0.2	8.516762
1.040000	0.2	8.519248
1.043333	0.2	8.524130
1.046667	0.2	8.536119
1.050000	0.2	8.560801
1.053333	0.2	8.604042
1.056667	0.2	8.671314
1.060000	0.2	8.767372
1.063333	0.2	8.896093
1.066667	0.2	9.059701
1.070000	0.2	9.257719
1.073333	0.2	9.486500
1.076667	0.2	9.739145
1.080000	0.2	10.005549
1.083333	0.2	10.273423
1.086667	0.2	10.530072
1.090000	0.2	10.763316
1.093333	0.2	10.961799
1.096667	0.2	11.115789
1.100000	0.2	11.217841
1.103333	0.2	11.262651
1.106667	0.2	11.247155
1.110000	0.2	11.171307
1.113333	0.2	11.038013
1.116667	0.2	10.851847
1.120000	0.2	10.618692
1.123333	0.2	10.346468
1.126667	0.2	10.044707
1.130000	0.2	9.723016
1.133333	0.2	9.390299
1.136667	0.2	9.054791
1.140000	0.2	8.724202
1.143333	0.2	8.405649
1.146667	0.2	8.105179
1.150000	0.2	7.827451
1.153333	0.2	7.575575
1.156667	0.2	7.350775
1.160000	0.2	7.152741
1.163333	0.2	6.980682
1.166667	0.2	6.833671
1.170000	0.2	6.710070
1.173333	0.2	6.607517
1.176667	0.2	6.523842
1.180000	0.2	6.457526
1.183333	0.2	6.407045
1.186667	0.2	6.370018
