File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/378.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	433
Injection Number	51
Position	RD11
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/1/2019
Injection Time	3:49:21 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.019401
Signal Max.	833.955436
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.516667	0.2	110.207944
0.520000	0.2	105.386850
0.523333	0.2	100.846774
0.526667	0.2	96.548865
0.530000	0.2	92.458056
0.533333	0.2	88.547319
0.536667	0.2	84.799679
0.540000	0.2	81.209519
0.543333	0.2	77.783388
0.546667	0.2	74.540459
0.550000	0.2	71.513127
0.553333	0.2	68.747268
0.556667	0.2	66.300215
0.560000	0.2	64.233971
0.563333	0.2	62.602987
0.566667	0.2	61.439082
0.570000	0.2	60.737857
0.573333	0.2	60.450882
0.576667	0.2	60.486581
0.580000	0.2	60.720815
0.583333	0.2	61.014502
0.586667	0.2	61.232286
0.590000	0.2	61.257663
0.593333	0.2	61.003227
0.596667	0.2	60.415280
0.600000	0.2	59.473069
0.603333	0.2	58.184857
0.606667	0.2	56.582685
0.610000	0.2	54.716105
0.613333	0.2	52.645388
0.616667	0.2	50.435490
0.620000	0.2	48.151349
0.623333	0.2	45.854207
0.626667	0.2	43.598629
0.630000	0.2	41.430374
0.633333	0.2	39.385496
0.636667	0.2	37.490429
0.640000	0.2	35.762329
0.643333	0.2	34.209346
0.646667	0.2	32.831259
0.650000	0.2	31.620767
0.653333	0.2	30.565402
0.656667	0.2	29.649589
0.660000	0.2	28.856153
0.663333	0.2	28.167161
0.666667	0.2	27.564614
0.670000	0.2	27.031176
0.673333	0.2	26.551101
0.676667	0.2	26.111097
0.680000	0.2	25.700456
0.683333	0.2	25.310777
0.686667	0.2	24.935918
0.690000	0.2	24.572056
0.693333	0.2	24.217572
0.696667	0.2	23.872792
0.700000	0.2	23.539437
0.703333	0.2	23.219943
0.706667	0.2	22.917062
0.710000	0.2	22.633543
0.713333	0.2	22.371555
0.716667	0.2	22.132199
0.720000	0.2	21.915243
0.723333	0.2	21.718761
0.726667	0.2	21.538853
0.730000	0.2	21.370083
0.733333	0.2	21.206521
0.736667	0.2	21.042622
0.740000	0.2	20.873810
0.743333	0.2	20.696693
0.746667	0.2	20.509083
0.750000	0.2	20.310260
0.753333	0.2	20.100640
0.756667	0.2	19.880677
0.760000	0.2	19.650457
0.763333	0.2	19.410052
0.766667	0.2	19.159738
0.770000	0.2	18.899906
0.773333	0.2	18.630990
0.776667	0.2	18.353490
0.780000	0.2	18.068069
0.783333	0.2	17.776007
0.786667	0.2	17.479496
0.790000	0.2	17.180900
0.793333	0.2	16.882136
0.796667	0.2	16.585209
0.800000	0.2	16.292842
0.803333	0.2	16.008562
0.806667	0.2	15.736424
0.810000	0.2	15.480551
0.813333	0.2	15.244523
0.816667	0.2	15.030702
0.820000	0.2	14.839941
0.823333	0.2	14.671946
0.826667	0.2	14.525869
0.830000	0.2	14.400552
0.833333	0.2	14.294225
0.836667	0.2	14.204166
0.840000	0.2	14.126952
0.843333	0.2	14.058992
0.846667	0.2	13.996784
0.850000	0.2	13.937117
0.853333	0.2	13.877534
0.856667	0.2	13.816574
0.860000	0.2	13.753611
0.863333	0.2	13.688510
0.866667	0.2	13.621656
0.870000	0.2	13.554742
0.873333	0.2	13.491343
0.876667	0.2	13.436390
0.880000	0.2	13.395679
0.883333	0.2	13.376145
0.886667	0.2	13.385956
0.890000	0.2	13.434182
0.893333	0.2	13.530238
0.896667	0.2	13.682306
0.900000	0.2	13.895149
0.903333	0.2	14.168632
0.906667	0.2	14.497349
0.910000	0.2	14.871489
0.913333	0.2	15.278539
0.916667	0.2	15.704554
0.920000	0.2	16.134804
0.923333	0.2	16.554546
0.926667	0.2	16.950208
0.930000	0.2	17.310658
0.933333	0.2	17.628132
0.936667	0.2	17.898509
0.940000	0.2	18.121041
0.943333	0.2	18.297525
0.946667	0.2	18.430830
0.950000	0.2	18.523584
0.953333	0.2	18.577767
0.956667	0.2	18.594771
0.960000	0.2	18.575620
0.963333	0.2	18.521472
0.966667	0.2	18.433910
0.970000	0.2	18.314919
0.973333	0.2	18.166993
0.976667	0.2	17.993537
0.980000	0.2	17.799540
0.983333	0.2	17.591507
0.986667	0.2	17.376109
0.990000	0.2	17.159068
