File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/281.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	702
Injection Number	32
Position	RC4
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/1/2019
Injection Time	5:57:12 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.002587
Signal Max.	720.763503
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.530000	0.2	50.589726
0.533333	0.2	49.321684
0.536667	0.2	48.032708
0.540000	0.2	46.742443
0.543333	0.2	45.472779
0.546667	0.2	44.247929
0.550000	0.2	43.094220
0.553333	0.2	42.038675
0.556667	0.2	41.106418
0.560000	0.2	40.317184
0.563333	0.2	39.680563
0.566667	0.2	39.191366
0.570000	0.2	38.827982
0.573333	0.2	38.554575
0.576667	0.2	38.326293
0.580000	0.2	38.096184
0.583333	0.2	37.821739
0.586667	0.2	37.469422
0.590000	0.2	37.017208
0.593333	0.2	36.455474
0.596667	0.2	35.785761
0.600000	0.2	35.017740
0.603333	0.2	34.166050
0.606667	0.2	33.247674
0.610000	0.2	32.279719
0.613333	0.2	31.278213
0.616667	0.2	30.258034
0.620000	0.2	29.232941
0.623333	0.2	28.215371
0.626667	0.2	27.216444
0.630000	0.2	26.246240
0.633333	0.2	25.313760
0.636667	0.2	24.426446
0.640000	0.2	23.590078
0.643333	0.2	22.809095
0.646667	0.2	22.086477
0.650000	0.2	21.423197
0.653333	0.2	20.818059
0.656667	0.2	20.268377
0.660000	0.2	19.770753
0.663333	0.2	19.321055
0.666667	0.2	18.914397
0.670000	0.2	18.545997
0.673333	0.2	18.212116
0.676667	0.2	17.910705
0.680000	0.2	17.642256
0.683333	0.2	17.410637
0.686667	0.2	17.223290
0.690000	0.2	17.090727
0.693333	0.2	17.025668
0.696667	0.2	17.041487
0.700000	0.2	17.149747
0.703333	0.2	17.357643
0.706667	0.2	17.665640
0.710000	0.2	18.065514
0.713333	0.2	18.539748
0.716667	0.2	19.062339
0.720000	0.2	19.600439
0.723333	0.2	20.117090
0.726667	0.2	20.575024
0.730000	0.2	20.940300
0.733333	0.2	21.185138
0.736667	0.2	21.290277
0.740000	0.2	21.246472
0.743333	0.2	21.054432
0.746667	0.2	20.723182
0.750000	0.2	20.267730
0.753333	0.2	19.706940
0.756667	0.2	19.061877
0.760000	0.2	18.354354
0.763333	0.2	17.605764
0.766667	0.2	16.836561
0.770000	0.2	16.065876
0.773333	0.2	15.310748
0.776667	0.2	14.585361
0.780000	0.2	13.900711
0.783333	0.2	13.264659
0.786667	0.2	12.682175
0.790000	0.2	12.155658
0.793333	0.2	11.685170
0.796667	0.2	11.268774
0.800000	0.2	10.903551
0.803333	0.2	10.586564
0.806667	0.2	10.314621
0.810000	0.2	10.083531
0.813333	0.2	9.888168
0.816667	0.2	9.723422
0.820000	0.2	9.585101
0.823333	0.2	9.470150
0.826667	0.2	9.376210
0.830000	0.2	9.300803
0.833333	0.2	9.240776
0.836667	0.2	9.192625
0.840000	0.2	9.153647
0.843333	0.2	9.122497
0.846667	0.2	9.098458
0.850000	0.2	9.080781
0.853333	0.2	9.068857
0.856667	0.2	9.062619
0.860000	0.2	9.062725
0.863333	0.2	9.070158
0.866667	0.2	9.085376
0.870000	0.2	9.108111
0.873333	0.2	9.137997
0.876667	0.2	9.174877
0.880000	0.2	9.218593
0.883333	0.2	9.269088
0.886667	0.2	9.326686
0.890000	0.2	9.391872
0.893333	0.2	9.464746
0.896667	0.2	9.544721
0.900000	0.2	9.630713
0.903333	0.2	9.721657
0.906667	0.2	9.816811
0.910000	0.2	9.915369
0.913333	0.2	10.015843
0.916667	0.2	10.116356
0.920000	0.2	10.215454
0.923333	0.2	10.311961
0.926667	0.2	10.404512
0.930000	0.2	10.491912
0.933333	0.2	10.573465
0.936667	0.2	10.648773
0.940000	0.2	10.717803
0.943333	0.2	10.781204
0.946667	0.2	10.840094
0.950000	0.2	10.895464
0.953333	0.2	10.948078
0.956667	0.2	10.998823
0.960000	0.2	11.049047
0.963333	0.2	11.100551
0.966667	0.2	11.154959
0.970000	0.2	11.213195
0.973333	0.2	11.276009
0.976667	0.2	11.344856
0.980000	0.2	11.421770
0.983333	0.2	11.508661
0.986667	0.2	11.607281
0.990000	0.2	11.719529
0.993333	0.2	11.847404
0.996667	0.2	11.992846
1.000000	0.2	12.157484
1.003333	0.2	12.342138
1.006667	0.2	12.546788
1.010000	0.2	12.771359
1.013333	0.2	13.016203
1.016667	0.2	13.281421
1.020000	0.2	13.566295
1.023333	0.2	13.869578
1.026667	0.2	14.189622
1.030000	0.2	14.524168
1.033333	0.2	14.870447
1.036667	0.2	15.225292
1.040000	0.2	15.585127
1.043333	0.2	15.946360
1.046667	0.2	16.305878
1.050000	0.2	16.660858
1.053333	0.2	17.008021
1.056667	0.2	17.343605
1.060000	0.2	17.664529
1.063333	0.2	17.969254
1.066667	0.2	18.257387
1.070000	0.2	18.529076
1.073333	0.2	18.784877
1.076667	0.2	19.025589
1.080000	0.2	19.251883
1.083333	0.2	19.464191
1.086667	0.2	19.663155
1.090000	0.2	19.850075
1.093333	0.2	20.026812
1.096667	0.2	20.195694
1.100000	0.2	20.359303
1.103333	0.2	20.519998
1.106667	0.2	20.679602
1.110000	0.2	20.839232
1.113333	0.2	20.999393
1.116667	0.2	21.160429
1.120000	0.2	21.322592
1.123333	0.2	21.485665
1.126667	0.2	21.648693
