File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/66966.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	805.4
Injection Number	527
Position	BD1
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	6/22/2019
Injection Time	11:12:57 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.003936
Signal Max.	729.250066
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.526667	0.2	47.931562
0.530000	0.2	47.132822
0.533333	0.2	46.268013
0.536667	0.2	45.354584
0.540000	0.2	44.406100
0.543333	0.2	43.430160
0.546667	0.2	42.429023
0.550000	0.2	41.402584
0.553333	0.2	40.351852
0.556667	0.2	39.280942
0.560000	0.2	38.197549
0.563333	0.2	37.113112
0.566667	0.2	36.042499
0.570000	0.2	35.002591
0.573333	0.2	34.010204
0.576667	0.2	33.080174
0.580000	0.2	32.224273
0.583333	0.2	31.450708
0.586667	0.2	30.762953
0.590000	0.2	30.158345
0.593333	0.2	29.628132
0.596667	0.2	29.159129
0.600000	0.2	28.735802
0.603333	0.2	28.342005
0.606667	0.2	27.962386
0.610000	0.2	27.583735
0.613333	0.2	27.196133
0.616667	0.2	26.793732
0.620000	0.2	26.374942
0.623333	0.2	25.941578
0.626667	0.2	25.497389
0.630000	0.2	25.047028
0.633333	0.2	24.595573
0.636667	0.2	24.148370
0.640000	0.2	23.710729
0.643333	0.2	23.287117
0.646667	0.2	22.880811
0.650000	0.2	22.494907
0.653333	0.2	22.133206
0.656667	0.2	21.799473
0.660000	0.2	21.496324
0.663333	0.2	21.224701
0.666667	0.2	20.983192
0.670000	0.2	20.767954
0.673333	0.2	20.573866
0.676667	0.2	20.395690
0.680000	0.2	20.228791
0.683333	0.2	20.069624
0.686667	0.2	19.915770
0.690000	0.2	19.765873
0.693333	0.2	19.619675
0.696667	0.2	19.477697
0.700000	0.2	19.340844
0.703333	0.2	19.210576
0.706667	0.2	19.089910
0.710000	0.2	18.984963
0.713333	0.2	18.905732
0.716667	0.2	18.865493
0.720000	0.2	18.879701
0.723333	0.2	18.964566
0.726667	0.2	19.134605
0.730000	0.2	19.398970
0.733333	0.2	19.757740
0.736667	0.2	20.200108
0.740000	0.2	20.705255
0.743333	0.2	21.245194
0.746667	0.2	21.788425
0.750000	0.2	22.303373
0.753333	0.2	22.761188
0.756667	0.2	23.137833
0.760000	0.2	23.414849
0.763333	0.2	23.578828
0.766667	0.2	23.621161
0.770000	0.2	23.538514
0.773333	0.2	23.333115
0.776667	0.2	23.012574
0.780000	0.2	22.589185
0.783333	0.2	22.078599
0.786667	0.2	21.498398
0.790000	0.2	20.867188
0.793333	0.2	20.204056
0.796667	0.2	19.527846
0.800000	0.2	18.855947
0.803333	0.2	18.202995
0.806667	0.2	17.580118
0.810000	0.2	16.994806
0.813333	0.2	16.451156
0.816667	0.2	15.950443
0.820000	0.2	15.491938
0.823333	0.2	15.073894
0.826667	0.2	14.694507
0.830000	0.2	14.352048
0.833333	0.2	14.044162
0.836667	0.2	13.767737
